voltage,current,sound,gas,temp,hum,heading,tahmin,durum
5.0,13.514,1023.0,1023.0,22.6,60.0,230.31989391780684,1,NORMAL
5.0,13.514,1020.0,1023.0,24.4,52.0,235.85050406218176,1,NORMAL
5.0,13.514,1016.0,1023.0,23.2,54.0,224.9588096551816,1,NORMAL
7.046017047170146,13.514,1006.0,1023.0,23.3,55.0,241.7296237536881,1,NORMAL
5.0,13.514,1001.0,1023.0,24.2,53.0,231.7016419406596,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,60.0,230.73337475837187,1,NORMAL
5.0,13.514,1023.0,1023.0,22.7,60.0,230.8548209420721,1,NORMAL
5.0,13.514,1017.0,1023.0,24.1,52.0,224.3589550909157,1,NORMAL
5.0,13.514,1023.0,1023.0,23.3,54.0,236.33126373867617,1,NORMAL
5.0,13.514,1006.0,1023.0,22.9,56.0,224.87480912964455,1,NORMAL
5.0,13.514,1011.0,1023.0,24.2,53.0,231.02869184557508,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,62.0,228.33847054376437,1,NORMAL
5.0,13.514,1017.0,1023.0,23.8,53.0,229.609957415854,1,NORMAL
5.0,13.514,1019.0,1023.0,22.7,56.0,232.9202835397464,1,NORMAL
5.0,13.514,1008.0,1023.0,23.5,55.0,287.0490309721098,1,NORMAL
5.0,13.514,1012.0,1023.0,23.0,52.0,224.5469155735008,1,NORMAL
5.0,13.514,1005.0,1023.0,34.93863502459786,51.0,224.76126896690107,-1,ANOMALI
5.0,13.514,1023.0,1023.0,22.6,59.0,230.6175805901268,1,NORMAL
5.0,13.514,1023.0,1023.0,22.2,62.0,227.7414236291016,1,NORMAL
5.0,13.514,972.0,1023.0,22.5,60.0,227.93676286477543,1,NORMAL
5.0,13.514,1021.0,1023.0,23.7,55.0,246.1880711295709,1,NORMAL
5.0,13.514,1012.0,1023.0,23.3,52.0,224.1436855643624,1,NORMAL
5.0,13.514,1022.0,1023.0,23.4,53.0,290.3084418365219,1,NORMAL
5.0,13.514,1023.0,1023.0,22.6,59.0,229.93024274766304,1,NORMAL
